TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
942.322	218.138	-0.605	-0.249
942.421	219.257	-0.609	-0.256
942.622	221.312	-0.589	-0.220
942.822	223.297	-0.577	-0.225
943.022	225.443	-0.568	-0.221
943.222	227.332	-0.549	-0.217
943.421	229.326	-0.542	-0.215
943.521	230.473	-0.534	-0.193
943.722	232.393	-0.525	-0.221
943.921	234.526	-0.476	-0.212
944.122	236.448	-0.469	-0.204
944.322	238.512	-0.465	-0.218
944.522	240.516	-0.453	-0.210
944.722	242.736	-0.444	-0.217
944.922	244.701	-0.416	-0.224
945.122	246.649	-0.418	-0.222
945.322	248.728	-0.398	-0.228
945.522	250.712	-0.386	-0.232
945.622	251.859	-0.383	-0.273
945.821	253.905	-0.397	-0.251
946.022	255.829	-0.374	-0.235
946.222	257.882	-0.397	-0.266
946.422	259.853	-0.343	-0.237
946.522	260.993	-0.410	-0.294
946.722	263.011	-0.370	-0.265
946.922	264.977	-0.342	-0.248
947.122	266.976	-0.345	-0.254
947.322	269.020	-0.335	-0.241
947.522	271.145	-0.326	-0.245
947.721	273.092	-0.312	-0.228
947.922	275.235	-0.300	-0.227
948.122	277.312	-0.281	-0.232
948.322	279.214	-0.262	-0.216
948.522	281.339	-0.258	-0.233
948.722	283.353	-0.222	-0.208
948.922	285.371	-0.240	-0.250
949.122	287.374	-0.196	-0.201
949.321	289.398	-0.203	-0.247
949.522	291.394	-0.185	-0.239
949.622	292.492	-0.173	-0.240
949.821	294.563	-0.193	-0.275
950.022	296.516	-0.150	-0.230
950.222	298.520	-0.188	-0.279
950.422	300.699	-0.149	-0.260
950.622	302.627	-0.176	-0.295
950.822	304.688	-0.138	-0.262
951.022	306.670	-0.168	-0.286
951.122	307.803	-0.128	-0.269
951.322	309.706	-0.140	-0.270
951.522	311.850	-0.142	-0.272
951.721	313.771	-0.128	-0.255
951.821	314.901	-0.116	-0.259
952.022	316.895	-0.105	-0.249
952.222	319.032	-0.106	-0.250
952.422	321.022	-0.105	-0.243
952.622	322.999	-0.091	-0.256
952.822	325.087	-0.068	-0.222
953.021	327.073	-0.056	-0.237
953.222	329.033	-0.043	-0.227
953.422	331.127	-0.021	-0.244
953.621	333.129	-0.014	-0.241
953.822	335.133	-0.024	-0.268
954.022	337.284	-0.005	-0.256
954.222	339.229	0.006	-0.269
954.422	341.289	0.014	-0.257
954.622	343.272	0.017	-0.288
954.722	344.420	0.038	-0.260
954.922	346.424	0.004	-0.306
955.122	348.428	0.029	-0.270
955.322	350.453	0.012	-0.292
955.522	352.512	0.033	-0.275
955.721	354.460	0.021	-0.275
955.921	356.670	0.032	-0.276
956.122	358.683	0.042	-0.261
956.322	360.683	0.017	-0.294
956.522	362.777	0.047	-0.265
956.722	364.778	0.027	-0.274
956.922	366.741	0.062	-0.263
957.122	368.842	0.052	-0.259
957.322	370.840	0.086	-0.247
957.522	372.812	0.076	-0.251
957.722	374.871	0.108	-0.261
957.921	376.861	0.095	-0.263
958.122	378.871	0.125	-0.254
958.322	381.071	0.141	-0.252
958.522	383.043	0.136	-0.262
958.722	385.120	0.164	-0.270
958.922	387.126	0.173	-0.262
959.122	389.077	0.177	-0.281
959.322	390.705	0.201	-0.283
959.522	391.434	0.195	-0.298
959.722	391.506	0.193	-0.302
1221.823	11.674	-4.757	0.390
1222.022	11.884	-4.782	0.375
1222.222	12.865	-4.776	0.359
1222.422	14.724	-4.785	0.366
1222.621	16.670	-4.771	0.360
1222.722	17.763	-4.789	0.363
1222.922	19.741	-4.764	0.385
1223.123	21.746	-4.800	0.347
1223.323	23.874	-4.764	0.382
1223.522	25.919	-4.769	0.366
1223.722	27.869	-4.760	0.385
1223.823	28.990	-4.751	0.377
1224.022	30.996	-4.779	0.363
1224.222	32.984	-4.768	0.365
1224.422	35.163	-4.773	0.358
1224.622	37.014	-1.796	0.092
1224.722	38.175	-1.513	0.017
1224.922	40.099	-1.527	0.006
1225.122	42.107	-1.527	-0.033
1225.222	43.249	-1.511	0.001
1225.422	45.138	-1.513	-0.036
1225.522	46.239	-1.496	-0.060
1225.722	48.262	-1.449	-0.032
1225.922	50.276	-1.469	-0.070
1226.122	52.264	-1.408	-0.041
1226.322	54.467	-1.419	-0.072
1226.522	56.440	-1.383	-0.062
1226.721	58.429	-1.404	-0.084
1226.922	60.413	-1.350	-0.102
1227.122	62.528	-1.352	-0.099
1227.322	64.617	-1.302	-0.108
1227.522	66.599	-1.311	-0.123
1227.722	68.522	-1.272	-0.121
1227.922	70.629	-1.282	-0.122
1228.122	72.616	-1.249	-0.131
1228.222	73.764	-1.272	-0.173
1228.422	75.643	-1.245	-0.150
1228.522	76.768	-1.206	-0.104
1228.722	78.729	-1.236	-0.170
1228.822	79.847	-1.217	-0.162
1229.022	81.815	-1.196	-0.161
1229.222	83.930	-1.183	-0.115
1229.422	85.932	-1.159	-0.064
1229.622	87.904	-1.173	-0.081
1229.822	90.022	-1.136	-0.075
1230.022	92.009	-1.131	-0.076
1230.222	94.154	-1.118	-0.084
1230.422	96.041	-1.130	-0.083
1230.622	98.042	-1.083	-0.093
1230.822	100.234	-1.091	-0.093
1231.022	102.202	-1.081	-0.100
1231.222	104.151	-1.082	-0.101
1231.422	106.207	-1.043	-0.087
1231.622	108.336	-1.055	-0.089
1231.822	110.319	-1.042	-0.103
1232.022	112.323	-1.051	-0.113
1232.222	114.327	-1.024	-0.102
1232.422	116.349	-1.048	-0.104
1232.622	118.424	-1.028	-0.136
1232.821	120.411	-1.011	-0.088
1233.022	122.531	-0.993	-0.121
1233.222	124.559	-1.011	-0.122
1233.422	126.531	-0.991	-0.115
1233.622	128.629	-1.000	-0.111
1233.822	130.637	-0.987	-0.124
1234.022	132.609	-1.005	-0.120
1234.222	134.696	-0.972	-0.121
1234.422	136.803	-0.979	-0.124
1234.622	138.792	-0.966	-0.125
1234.821	140.847	-0.942	-0.113
1235.022	142.962	-0.926	-0.127
1235.222	144.816	-0.947	-0.103
1235.422	146.951	-0.951	-0.138
1235.622	148.973	-0.924	-0.097
1235.822	150.989	-0.931	-0.157
1236.022	152.981	-0.916	-0.117
1236.222	155.005	-0.931	-0.175
1236.422	157.053	-0.884	-0.126
1236.622	159.197	-0.912	-0.164
1236.822	161.165	-0.870	-0.124
1237.022	163.181	-0.869	-0.156
1237.222	165.182	-0.850	-0.155
1237.422	167.323	-0.844	-0.171
1237.622	169.334	-0.843	-0.184
1237.822	171.294	-0.816	-0.176
1238.022	173.419	-0.820	-0.183
1238.222	175.413	-0.798	-0.193
1238.422	177.386	-0.794	-0.185
1238.622	179.441	-0.784	-0.196
1238.821	181.475	-0.768	-0.164
1239.022	183.636	-0.777	-0.204
1239.222	185.632	-0.723	-0.158
1239.422	187.604	-0.760	-0.215
1239.622	189.667	-0.705	-0.190
1239.822	191.671	-0.724	-0.215
1240.022	193.806	-0.683	-0.188
1240.222	195.699	-0.708	-0.228
1240.422	197.852	-0.668	-0.206
1240.622	199.876	-0.681	-0.225
1240.822	201.822	-0.660	-0.198
1241.022	203.832	-0.655	-0.215
1241.222	205.926	-0.643	-0.206
1241.422	207.982	-0.625	-0.232
1241.622	209.999	-0.581	-0.182
1241.822	212.048	-0.603	-0.235
1242.022	214.100	-0.572	-0.206
1242.222	216.103	-0.587	-0.243
